,date,link,loc,name
77,"Fri, Aug 9, 6:00pm",https://www.eventbrite.com/e/pac-maze-brisbane-tickets-59661492129?aff=ebdssbdestsearch,"Powerhouse: Performance Lawn, Brisbane, queensland",Pac Maze: Brisbane
78,"Sat, Aug 17, 10:00am",https://www.eventbrite.com.au/e/2019-aviation-expo-tickets-54626922596?aff=ebdssbdestsearch,"Aviation Australia, Brisbane Airport, QLD",2019 Aviation Expo 
79,"Sat, Sep 7, 2:00pm",https://www.eventbrite.com.au/e/snack-at-the-court-tickets-64406403286?aff=ebdssbdestsearch,"The Court, Perth, WA",SNACK at The Court 
80,"Fri, Jan 24, 12:00pm",https://www.eventbrite.com.au/e/rainbow-serpent-festival-2020-tickets-62828893913?aff=ebdssbdestsearch,"Lexton, Lexton, VIC",Rainbow Serpent Festival 2020
81,"Sat, Oct 19, 12:00pm",https://www.eventbrite.com.au/e/the-grass-is-greener-gold-coast-tickets-63034478823?aff=ebdssbdestsearch,"Broadwater Parklands, Southport, QLD",The Grass is Greener - Gold Coast
82,"Thu, Nov 28, 2:00pm",https://www.eventbrite.com.au/e/strawberry-fields-2019-tickets-61081179452?aff=ebdssbdestsearch,"The Wildlands, Tocumwal, NSW",Strawberry Fields 2019
83,"Sat, Oct 26, 12:00pm",https://www.eventbrite.com.au/e/oktoberfest-2019-thundamentals-potbelleez-djs-john-course-sunshine-tickets-61548372840?aff=ebdssbdestsearch,"Catani Gardens, St Kilda, Vic","Oktoberfest 2019 - Thundamentals, Potbelleez DJs & John Course & Sunshine"
84,"Sun, Nov 17, 2:00pm",https://www.eventbrite.com.au/e/for-the-love-special-edition-ft-duke-dumont-tickets-59679604303?aff=ebdssbdestsearch,"Riva St Kilda, Elwood, VIC",For The Love - Special Edition Ft. Duke Dumont
85,"Fri, Aug 16, 4:00pm",https://www.eventbrite.com.au/e/perth-craft-beer-festival-2019-tickets-61412855504?aff=ebdssbdestsearch,"Ice Cream Factory, Northbridge, WA",Perth Craft Beer Festival 2019
86,"Sat, Jun 13, 8:30pm",https://www.eventbrite.com.au/e/trixie-katya-live-the-unhhhh-tour-melbourne-tickets-63737392256?aff=ebdssbdestsearch,"The Plenary - Melbourne Convention and Exhibition Centre, South Wharf, VIC",Trixie & Katya LIVE : The UNHhhh Tour (Melbourne)
87,"Sat, Oct 26, 12:00pm",https://www.eventbrite.com.au/e/the-grass-is-greener-cairns-tickets-63034704498?aff=ebdssbdestsearch,"Barlow Park, Parramatta Park, QLD",The Grass is Greener - Cairns
88,"Sun, Oct 6, 5:00am",https://www.eventbrite.com.au/e/united-energy-around-the-bay-2019-tickets-58768790033?aff=ebdssbdestsearch,"Albert Park Lake, Albert Park, VIC",United Energy Around the Bay 2019
